"","Date","Time","Buck","MarkedDoe","UnmarkedDoe","Doe_UnknownifMarked","Fawn","UnknownSex","Unknown_UnknownifMarked","UnknownAgeGroup","Comments","TotalAdult","TotalFawn","Location","ICDoe_2019","ControlCollar_Colour","ControlCollar_Tag","ICCollar_Colour","EarTagNumber_2019","EarTagNumber_2020","EarTagColour_2019","EarTagColour2020","ICDoe_2020","Multi_Marked_Comments","TotalMarked","WHID_all","df_year","datetime","year","SiteID"
"50","10-Oct-19","2:42:57",1,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 02:42:57,2010,"Site03"
"51","10-Oct-19","2:42:58",1,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 02:42:58,2010,"Site03"
"52","10-Oct-19","3:03:32",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 03:03:32,2010,"Site03"
"53","10-Oct-19","3:03:33",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 03:03:33,2010,"Site03"
"54","10-Oct-19","3:03:34",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 03:03:34,2010,"Site03"
"55","10-Oct-19","3:04:00",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 03:04:00,2010,"Site03"
"56","10-Oct-19","3:04:01",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 03:04:01,2010,"Site03"
"57","10-Oct-19","3:04:02",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 03:04:02,2010,"Site03"
"58","10-Oct-19","14:50:01",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 14:50:01,2010,"Site03"
"59","10-Oct-19","14:50:02",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 14:50:02,2010,"Site03"
"60","10-Oct-19","14:50:03",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 14:50:03,2010,"Site03"
"61","10-Oct-19","17:15:51",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 17:15:51,2010,"Site03"
"62","10-Oct-19","17:15:51",0,0,0,0,0,0,0,0,"",NA,NA,"Site3",0,"","","",NA,NA,"",NA,0,"",NA,"",2019,2019-10-10 17:15:51,2010,"Site03"
