"","Date","Time","Buck","MarkedDoe","UnmarkedDoe","Doe_UnknownifMarked","Fawn","UnknownSex","Unknown_UnknownifMarked","UnknownAgeGroup","Comments","TotalAdult","TotalFawn","Location","ICDoe_2019","ControlCollar_Colour","ControlCollar_Tag","ICCollar_Colour","EarTagNumber_2019","EarTagNumber_2020","EarTagColour_2019","EarTagColour2020","ICDoe_2020","Multi_Marked_Comments","TotalMarked","WHID_all","df_year","datetime","SiteID"
"20308","2021-09-09","15:01:51",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:01:51,"Site25a"
"20309","2021-09-09","15:01:53",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:01:53,"Site25a"
"20310","2021-09-09","15:11:27",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:11:27,"Site25a"
"20311","2021-09-09","15:11:29",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:11:29,"Site25a"
"20312","2021-09-09","15:11:30",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:11:30,"Site25a"
"20313","2021-09-09","15:11:40",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:11:40,"Site25a"
"20314","2021-09-09","15:11:42",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:11:42,"Site25a"
"20315","2021-09-09","15:11:44",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:11:44,"Site25a"
"20316","2021-09-09","15:12:00",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:12:00,"Site25a"
"20317","2021-09-09","15:12:02",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:12:02,"Site25a"
"20318","2021-09-09","15:12:04",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:12:04,"Site25a"
"20319","2021-09-09","15:12:15",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:12:15,"Site25a"
"20320","2021-09-09","15:12:17",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:12:17,"Site25a"
"20321","2021-09-09","15:12:19",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:12:19,"Site25a"
"20322","2021-09-09","15:17:43",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:17:43,"Site25a"
"20323","2021-09-09","15:17:45",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:17:45,"Site25a"
"20324","2021-09-09","15:17:47",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:17:47,"Site25a"
"20325","2021-09-09","15:21:08",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:21:08,"Site25a"
"20326","2021-09-09","15:21:10",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:21:10,"Site25a"
"20327","2021-09-09","15:21:12",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:21:12,"Site25a"
"20328","2021-09-09","15:31:08",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:31:08,"Site25a"
"20329","2021-09-09","15:31:10",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:31:10,"Site25a"
"20330","2021-09-09","15:31:12",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:31:12,"Site25a"
"20331","2021-09-09","15:31:55",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:31:55,"Site25a"
"20332","2021-09-09","15:31:57",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:31:57,"Site25a"
"20333","2021-09-09","15:31:59",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:31:59,"Site25a"
"20334","2021-09-09","15:32:27",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:32:27,"Site25a"
"20335","2021-09-09","15:32:29",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:32:29,"Site25a"
"20336","2021-09-09","15:32:31",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:32:31,"Site25a"
"20337","2021-09-09","15:39:45",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:39:45,"Site25a"
"20338","2021-09-09","15:39:47",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:39:47,"Site25a"
"20339","2021-09-09","15:39:48",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:39:48,"Site25a"
"20340","2021-09-09","15:39:59",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:39:59,"Site25a"
"20341","2021-09-09","15:40:00",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:40:00,"Site25a"
"20342","2021-09-09","15:40:02",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:40:02,"Site25a"
"20343","2021-09-09","15:40:12",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:40:12,"Site25a"
"20344","2021-09-09","15:40:13",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:40:13,"Site25a"
"20345","2021-09-09","15:40:15",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:40:15,"Site25a"
"20346","2021-09-09","15:57:51",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:57:51,"Site25a"
"20347","2021-09-09","15:57:53",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:57:53,"Site25a"
"20348","2021-09-09","15:57:55",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:57:55,"Site25a"
"20349","2021-09-09","15:58:05",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:58:05,"Site25a"
"20350","2021-09-09","15:58:07",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:58:07,"Site25a"
"20351","2021-09-09","15:58:09",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:58:09,"Site25a"
"20352","2021-09-09","15:58:19",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:58:19,"Site25a"
"20353","2021-09-09","15:58:21",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:58:21,"Site25a"
"20354","2021-09-09","15:58:23",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 15:58:23,"Site25a"
"20355","2021-09-09","16:00:10",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 16:00:10,"Site25a"
"20356","2021-09-09","16:00:12",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 16:00:12,"Site25a"
"20357","2021-09-09","16:00:14",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 16:00:14,"Site25a"
"20358","2021-09-09","16:02:11",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 16:02:11,"Site25a"
"20359","2021-09-09","16:02:13",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 16:02:13,"Site25a"
"20360","2021-09-09","16:02:15",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 16:02:15,"Site25a"
"20361","2021-09-09","16:38:13",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 16:38:13,"Site25a"
"20362","2021-09-09","16:38:15",0,0,0,0,0,0,0,0,"",NA,NA,"site25a",0,"","","","nan","nan","","",0,"",NA,"",2021,2021-09-09 16:38:15,"Site25a"
