camera_id,xcor,ycor,tick,deer_id,sex,number-deer,run_num
367,94.86832980505137,47.43416490252569,14803,306,female,360,18
367,94.86832980505137,47.43416490252569,14804,306,female,360,18
384,284.60498941515414,15.811388300841896,14804,86,female,360,18
384,284.60498941515414,15.811388300841896,14805,86,female,360,18
367,94.86832980505137,47.43416490252569,14805,306,female,360,18
367,94.86832980505137,47.43416490252569,14806,306,female,360,18
384,284.60498941515414,15.811388300841896,14806,86,female,360,18
367,94.86832980505137,47.43416490252569,14807,306,female,360,18
367,94.86832980505137,47.43416490252569,14808,306,female,360,18
367,94.86832980505137,47.43416490252569,14809,306,female,360,18
367,94.86832980505137,47.43416490252569,14810,306,female,360,18
367,94.86832980505137,47.43416490252569,14811,306,female,360,18
367,94.86832980505137,47.43416490252569,14812,306,female,360,18
367,94.86832980505137,47.43416490252569,14813,306,female,360,18
367,94.86832980505137,47.43416490252569,14814,306,female,360,18
363,31.622776601683793,110.67971810589327,14862,292,male,360,18
363,31.622776601683793,110.67971810589327,14863,292,male,360,18
363,31.622776601683793,110.67971810589327,14864,292,male,360,18
363,31.622776601683793,110.67971810589327,14865,292,male,360,18
363,31.622776601683793,110.67971810589327,14866,292,male,360,18
363,31.622776601683793,110.67971810589327,14884,248,female,360,18
392,347.85054261852173,79.05694150420948,14893,76,female,360,18
392,347.85054261852173,79.05694150420948,14894,76,female,360,18
392,347.85054261852173,79.05694150420948,14895,76,female,360,18
392,347.85054261852173,79.05694150420948,14896,76,female,360,18
392,347.85054261852173,79.05694150420948,14897,76,female,360,18
392,347.85054261852173,79.05694150420948,14898,76,female,360,18
392,347.85054261852173,79.05694150420948,14899,76,female,360,18
392,347.85054261852173,79.05694150420948,14900,76,female,360,18
392,347.85054261852173,79.05694150420948,14901,76,female,360,18
392,347.85054261852173,79.05694150420948,14902,76,female,360,18
392,347.85054261852173,79.05694150420948,14903,76,female,360,18
392,347.85054261852173,79.05694150420948,14904,76,female,360,18
392,347.85054261852173,79.05694150420948,14905,76,female,360,18
392,347.85054261852173,79.05694150420948,14906,76,female,360,18
392,347.85054261852173,79.05694150420948,14907,76,female,360,18
392,347.85054261852173,79.05694150420948,14920,201,female,360,18
392,347.85054261852173,79.05694150420948,14921,201,female,360,18
392,347.85054261852173,79.05694150420948,14922,201,female,360,18
392,347.85054261852173,79.05694150420948,14923,201,female,360,18
392,347.85054261852173,79.05694150420948,14924,201,female,360,18
360,31.622776601683793,15.811388300841896,14928,277,male,360,18
360,31.622776601683793,15.811388300841896,14929,277,male,360,18
